LH,LS,LV,UH,US,UV,img_masked_id,img_raw_id,Hue
7,142,0,97,255,255,imgmsk_0.jpg,imgraw_0.jpg,93.3472464167
0,150,0,101,255,255,imgmsk_1.jpg,imgraw_1.jpg,94.0153194633
0,150,0,101,255,255,imgmsk_2.jpg,imgraw_2.jpg,93.9548429858
0,107,1,255,255,255,imgmsk_3.jpg,imgraw_3.jpg,43.9308541518
0,101,0,255,255,255,imgmsk_4.jpg,imgraw_4.jpg,40.9312331142
0,131,0,255,255,255,imgmsk_5.jpg,imgraw_5.jpg,40.1263383208
35,131,0,255,255,255,imgmsk_6.jpg,imgraw_6.jpg,48.246106446
34,134,0,255,255,255,imgmsk_7.jpg,imgraw_7.jpg,43.4294890703
0,105,0,255,255,255,imgmsk_8.jpg,imgraw_8.jpg,43.1756322675
0,94,0,255,255,255,imgmsk_9.jpg,imgraw_9.jpg,40.0539385427
37,94,0,255,255,255,imgmsk_10.jpg,imgraw_10.jpg,44.882947068
16,101,0,255,255,255,imgmsk_11.jpg,imgraw_11.jpg,42.7295188674
0,124,0,255,255,255,imgmsk_12.jpg,imgraw_12.jpg,41.8538764816
0,107,0,255,255,255,imgmsk_13.jpg,imgraw_13.jpg,44.5954031552
35,105,0,255,255,255,imgmsk_14.jpg,imgraw_14.jpg,45.6677386268
35,105,0,255,255,255,imgmsk_15.jpg,imgraw_15.jpg,42.4351015758
0,111,0,255,255,255,imgmsk_16.jpg,imgraw_16.jpg,43.3073868487
0,111,0,255,255,255,imgmsk_17.jpg,imgraw_17.jpg,47.2948823523
21,87,0,255,255,255,imgmsk_18.jpg,imgraw_18.jpg,39.902223065
21,109,0,255,255,255,imgmsk_19.jpg,imgraw_19.jpg,43.189385389
21,109,0,255,255,255,imgmsk_20.jpg,imgraw_20.jpg,41.8336758182
21,109,0,255,255,255,imgmsk_21.jpg,imgraw_21.jpg,40.3642817463
0,110,0,255,255,255,imgmsk_22.jpg,imgraw_22.jpg,39.4091809662
0,100,0,255,255,255,imgmsk_23.jpg,imgraw_23.jpg,41.0386990434
0,100,0,255,255,255,imgmsk_24.jpg,imgraw_24.jpg,41.835116088
23,131,0,255,255,255,imgmsk_25.jpg,imgraw_25.jpg,41.1571014171
30,144,0,255,255,255,imgmsk_26.jpg,imgraw_26.jpg,43.9935270703
0,96,0,255,255,255,imgmsk_27.jpg,imgraw_27.jpg,42.0899247412
37,111,0,255,255,255,imgmsk_28.jpg,imgraw_28.jpg,43.7657425156
1,118,0,255,255,255,imgmsk_29.jpg,imgraw_29.jpg,43.6301059698
24,131,0,255,255,255,imgmsk_30.jpg,imgraw_30.jpg,42.9724925632
24,131,0,255,255,255,imgmsk_31.jpg,imgraw_31.jpg,42.0655899979
0,133,0,255,255,255,imgmsk_32.jpg,imgraw_32.jpg,37.7353276838
12,173,0,255,255,255,imgmsk_33.jpg,imgraw_33.jpg,38.3910112895
18,188,0,255,255,255,imgmsk_34.jpg,imgraw_34.jpg,39.7625196097
29,102,0,255,255,255,imgmsk_35.jpg,imgraw_35.jpg,43.657255585
3,152,0,255,255,255,imgmsk_36.jpg,imgraw_36.jpg,41.5189392158
31,177,0,64,255,238,imgmsk_37.jpg,imgraw_37.jpg,41.4590058383
3,154,32,83,255,255,imgmsk_38.jpg,imgraw_38.jpg,40.3938741611
3,73,0,83,255,255,imgmsk_39.jpg,imgraw_39.jpg,44.5157705957
3,118,0,83,255,255,imgmsk_40.jpg,imgraw_40.jpg,42.1497394157
3,118,0,83,255,255,imgmsk_41.jpg,imgraw_41.jpg,43.9462840726
33,118,0,83,255,255,imgmsk_42.jpg,imgraw_42.jpg,42.5480900724
32,131,0,69,255,255,imgmsk_43.jpg,imgraw_43.jpg,40.6296800873
0,111,0,255,255,255,imgmsk_44.jpg,imgraw_44.jpg,40.8597986102
0,181,0,255,255,255,imgmsk_45.jpg,imgraw_45.jpg,40.1885647051
